Name,Religious Affiliation,Percent Admitted,Tuition,State,Region,Type,Urbanization,Enrollment,Percent American Indian,Percent Asian,Percent African American,Percent Hispanic,Percent Pacific Islander,Percent White,Percent Other Ethnicity,Percent Non Resident Alien,Graduation Rate,Percent Receiving Financial Aid,Percent Receiving Student Loan
University of Maryland-College Park,No,47,9162,Maryland,Mid East,Public,Suburb,26658,0,13,11,7,0,51,3,11,66,73,35
Rowan University,No,59,12380,New Jersey,Mid East,Public,Suburb,10951,0,5,9,9,0,70,4,1,46,83,62
Kean University,No,80,10918,New Jersey,Mid East,Public,Suburb,12078,0,6,19,23,0,42,8,1,19,78,64
Montclair State University,No,65,11318,New Jersey,Mid East,Public,Suburb,15431,0,5,9,21,0,50,9,3,34,77,63
Ramapo College of New Jersey,No,55,13388,New Jersey,Mid East,Public,Suburb,5614,0,6,5,13,0,66,7,2,59,78,54
The College of New Jersey,No,43,14730,New Jersey,Mid East,Public,Suburb,6653,0,9,5,11,0,66,8,0,72,83,52
William Paterson University of New Jersey,No,68,11918,New Jersey,Mid East,Public,Suburb,10027,0,6,13,23,0,49,6,1,16,87,69
Farmingdale State College,No,53,7125,New York,Mid East,Public,Suburb,8162,0,7,10,15,0,61,1,3,21,68,42
University at Buffalo,No,57,8211,New York,Mid East,Public,Suburb,19831,0,11,6,5,0,48,7,22,52,75,52
Stony Brook University,No,39,7995,New York,Mid East,Public,Suburb,15992,0,19,6,9,0,38,11,16,45,80,50
State University of New York at New Paltz,No,44,7083,New York,Mid East,Public,Suburb,6570,0,4,5,11,0,67,9,3,51,73,59
SUNY at Purchase College,No,33,7573,New York,Mid East,Public,Suburb,4239,0,3,8,17,0,55,10,2,50,82,69
SUNY College at Old Westbury,No,58,6624,New York,Mid East,Public,Suburb,4161,0,9,29,21,0,34,3,1,20,77,53
Cheyney University of Pennsylvania,No,,8806,Pennsylvania,Mid East,Public,Suburb,1179,0,0,88,5,0,1,2,0,9,96,86
Lincoln University of Pennsylvania,No,61,9804,Pennsylvania,Mid East,Public,Suburb,1624,0,0,85,3,0,1,7,3,23,99,88
Millersville University of Pennsylvania,No,72,8866,Pennsylvania,Mid East,Public,Suburb,7388,0,2,9,7,0,79,1,1,37,86,76
Pennsylvania State University-Penn State Shenango,No,69,13318,Pennsylvania,Mid East,Public,Suburb,568,0,1,8,1,0,83,4,0,14,99,83
Pennsylvania State University-Penn State Worthington Scranton,No,82,13486,Pennsylvania,Mid East,Public,Suburb,1178,0,5,3,5,0,83,2,1,22,93,80
Pennsylvania State University-Penn State Lehigh Valley,No,85,13602,Pennsylvania,Mid East,Public,Suburb,889,0,10,4,14,0,66,3,1,36,84,65
Pennsylvania State University-Penn State Beaver,No,87,13470,Pennsylvania,Mid East,Public,Suburb,703,0,3,11,4,0,72,4,3,25,92,79
Pennsylvania State University-Penn State Berks,No,83,14240,Pennsylvania,Mid East,Public,Suburb,2712,0,4,9,10,0,72,2,2,35,81,70
Pennsylvania State University-Penn State Harrisburg,No,80,14240,Pennsylvania,Mid East,Public,Suburb,3577,0,7,9,6,0,65,2,8,39,75,59
Pennsylvania State University-Penn State Brandywine,No,79,13608,Pennsylvania,Mid East,Public,Suburb,1492,0,9,14,5,0,66,3,1,17,89,67
Pennsylvania State University-Penn State Greater Allegheny,No,80,13464,Pennsylvania,Mid East,Public,Suburb,623,0,2,18,5,0,61,1,7,24,92,76
Pennsylvania State University-Penn State Abington,No,78,13608,Pennsylvania,Mid East,Public,Suburb,3690,0,15,13,9,0,48,9,3,26,86,70
University of Pittsburgh-Greensburg,No,93,13128,Pennsylvania,Mid East,Public,Suburb,1677,0,3,5,4,0,80,3,1,33,91,76
West Chester University of Pennsylvania,No,52,8850,Pennsylvania,Mid East,Public,Suburb,13711,0,2,9,4,0,81,0,1,44,79,71
Central Connecticut State University,No,64,8706,Connecticut,New England,Public,Suburb,9771,0,3,10,10,0,69,3,1,20,84,67
Charter Oak State College,No,,,Connecticut,New England,Public,Suburb,1580,0,2,16,11,0,60,9,1,,,
University of Connecticut,No,54,12022,Connecticut,New England,Public,Suburb,18032,0,8,5,7,0,61,8,9,68,77,49
Bridgewater State University,No,79,8053,Massachusetts,New England,Public,Suburb,9615,0,2,7,5,0,80,3,1,29,79,70
University of Massachusetts-Lowell,No,64,12097,Massachusetts,New England,Public,Suburb,12734,0,8,6,7,0,64,6,6,28,90,74
University of Massachusetts-Amherst,No,63,13443,Massachusetts,New England,Public,Suburb,22134,0,7,4,5,0,63,11,7,59,88,61
Salem State University,No,69,8130,Massachusetts,New England,Public,Suburb,7664,0,3,7,10,0,70,4,4,22,88,76
Westfield State University,No,75,8694,Massachusetts,New England,Public,Suburb,5692,0,1,4,7,0,79,4,1,44,88,76
Rhode Island College,No,69,7602,Rhode Island,New England,Public,Suburb,7505,0,2,7,11,0,66,11,0,15,86,66
University of Rhode Island,No,79,12450,Rhode Island,New England,Public,Suburb,13354,0,3,5,8,0,68,12,2,41,91,80
University of Missouri-St Louis,No,74,9474,Missouri,Plains,Public,Suburb,13569,0,4,14,2,0,69,6,3,20,95,55
Colorado School of Mines,No,37,16485,Colorado,Rocky Mountains,Public,Suburb,4291,0,4,1,7,0,71,3,11,41,87,50
University of Montevallo,No,87,10000,Alabama,Southeast,Public,Suburb,2618,1,1,15,2,0,73,5,1,24,88,55
University of Central Florida,No,49,6317,Florida,Southeast,Public,Suburb,51333,0,5,10,20,0,57,2,2,36,96,41
Florida International University,No,43,6496,Florida,Southeast,Public,Suburb,39142,0,3,12,62,0,12,1,7,20,91,45
Clayton  State University,No,48,5153,Georgia,Southeast,Public,Suburb,6893,0,5,62,1,0,23,4,1,9,94,76
Kennesaw State University,No,57,5818,Georgia,Southeast,Public,Suburb,22621,0,3,18,7,0,63,3,2,15,90,51
Northern Kentucky University,No,47,8376,Kentucky,Southeast,Public,Suburb,12794,0,1,6,2,0,83,2,3,14,95,60
Clemson University,No,58,13054,South Carolina,Southeast,Public,Suburb,16931,0,2,6,2,0,77,4,7,59,91,42
University of South Carolina-Aiken,No,51,9308,South Carolina,Southeast,Public,Suburb,3175,0,1,25,4,0,61,4,2,21,97,62
George Mason University,No,62,9908,Virginia,Southeast,Public,Suburb,21990,0,14,9,10,0,49,8,6,43,66,50
Virginia State University,No,95,7784,Virginia,Southeast,Public,Suburb,5073,0,0,85,2,0,3,9,0,25,92,92
Florida Gulf Coast University,No,66,6118,Florida,Southeast,Public,Suburb,12907,0,2,7,18,0,68,1,2,22,81,43
Georgia Gwinnett College,No,,5246,Georgia,Southeast,Public,Suburb,9719,0,9,29,14,0,42,1,1,5,83,46
University of South Florida-Sarasota-Manatee,No,35,5587,Florida,Southeast,Public,Suburb,1728,0,2,6,13,0,73,2,1,,,
University of Central Oklahoma,No,84,5437,Oklahoma,Southwest,Public,Suburb,15218,4,3,9,7,0,59,3,8,10,76,45
University of Houston-Clear Lake,No,,,Texas,Southwest,Public,Suburb,4853,0,7,10,26,0,42,1,12,,,
University of California-Santa Barbara,No,44,13746,California,Far West,Public,Suburb,19362,0,16,2,23,0,41,4,6,68,70,47
Southern Oregon University,No,73,7438,Oregon,Far West,Public,Suburb,5500,1,2,2,8,0,55,25,3,18,85,62
The Evergreen State College,No,97,8574,Washington,Far West,Public,Suburb,4087,3,2,5,7,0,66,9,0,43,85,49
California State University-Monterey Bay,No,44,5963,California,Far West,Public,Suburb,5306,1,5,6,39,0,34,8,2,12,78,59
San Diego State University-Imperial Valley Campus,No,61,5706,California,Far West,Public,Suburb,740,0,1,0,87,0,3,7,0,33,,
California State University-Channel Islands,No,64,6471,California,Far West,Public,Suburb,4963,0,5,2,41,0,38,7,0,21,70,49
Illinois State University,No,69,13010,Illinois,Great Lakes,Public,Suburb,17749,0,2,7,7,0,79,1,2,46,79,64
University of Southern Indiana,No,69,6698,Indiana,Great Lakes,Public,Suburb,8913,0,1,4,1,0,86,2,3,15,88,63
University of Wisconsin-Parkside,No,75,7316,Wisconsin,Great Lakes,Public,Suburb,4450,0,3,9,11,0,70,0,2,9,83,64
University of Wisconsin-Superior,No,89,7946,Wisconsin,Great Lakes,Public,Suburb,2527,3,1,2,2,0,84,1,5,14,88,65
Purdue University-Main Campus,No,60,9992,Indiana,Great Lakes,Public,Suburb,30446,0,5,3,4,0,63,2,22,42,66,38
The Richard Stockton College of New Jersey,No,62,12322,New Jersey,Mid East,Public,Suburb,7539,0,5,6,9,0,75,1,0,42,87,70
SUNY at Binghamton,No,43,8144,New York,Mid East,Public,Suburb,12997,0,12,5,8,0,52,4,16,69,61,47
SUNY Institute of Technology at Utica-Rome,No,48,7090,New York,Mid East,Public,Suburb,1804,0,3,7,5,0,78,0,5,32,92,65
Pennsylvania State University-Penn State Erie-Behrend College,No,84,14240,Pennsylvania,Mid East,Public,Suburb,3943,0,3,4,3,0,83,2,5,46,83,71
Pennsylvania State University-Penn State York,No,84,13602,Pennsylvania,Mid East,Public,Suburb,1141,0,6,7,6,0,70,4,6,27,81,67
Fitchburg State University,No,72,8985,Massachusetts,New England,Public,Suburb,4245,0,2,4,6,0,78,7,1,20,90,78
Massachusetts Maritime Academy,No,77,7127,Massachusetts,New England,Public,Suburb,1376,2,3,2,1,0,90,2,0,49,89,86
University of Massachusetts-Dartmouth,No,72,11681,Massachusetts,New England,Public,Suburb,7437,0,3,10,7,0,66,5,5,30,90,76
Minnesota State University-Moorhead,No,89,7816,Minnesota,Plains,Public,Suburb,6163,1,1,3,3,0,78,5,7,22,86,70
University of South Carolina-Upstate,No,64,10198,South Carolina,Southeast,Public,Suburb,5308,0,2,27,4,0,56,6,2,24,97,70
University of Mary Washington,No,81,9720,Virginia,Southeast,Public,Suburb,4383,0,4,6,7,0,66,12,1,66,68,47
West Virginia State University,No,45,5932,West Virginia,Southeast,Public,Suburb,2622,0,0,10,1,0,43,45,1,4,87,54
New Mexico State University-Main Campus,No,85,6220,New Mexico,Southwest,Public,Suburb,13582,2,1,3,49,0,33,4,7,16,97,42
University of Oklahoma-Norman Campus,No,80,8916,Oklahoma,Southwest,Public,Suburb,20985,4,5,6,8,0,60,5,7,35,74,37
University of Alaska Fairbanks,No,,4984,Alaska,Far West,Public,Suburb,7989,14,2,2,4,0,47,24,3,14,83,35
California Polytechnic State University-San Luis Obispo,No,31,8724,California,Far West,Public,Suburb,18739,0,11,1,15,0,60,5,2,29,50,29
California State University-Stanislaus,No,72,6491,California,Far West,Public,Suburb,7754,0,11,3,44,1,29,7,2,18,82,35
University of California-Davis,No,45,13895,California,Far West,Public,Suburb,26533,0,31,2,16,0,34,3,9,51,77,45
Northern Illinois University,No,56,12976,Illinois,Great Lakes,Public,Suburb,15814,0,5,14,11,0,61,2,4,26,96,75
Ohio State University-Newark Campus,No,,7140,Ohio,Great Lakes,Public,Suburb,2263,0,3,13,3,0,74,3,0,19,100,65
Frostburg State University,No,59,7728,Maryland,Mid East,Public,Suburb,4703,0,1,24,4,0,63,2,2,22,83,64
Salisbury University,No,55,8128,Maryland,Mid East,Public,Suburb,8004,0,2,12,4,0,74,3,1,47,88,57
St Mary's College of Maryland,No,72,14864,Maryland,Mid East,Public,Suburb,1819,0,3,8,6,0,75,3,2,71,72,42
SUNY Empire State College,No,81,6265,New York,Mid East,Public,Suburb,10827,1,2,14,10,0,64,5,3,8,94,54
California University of Pennsylvania,No,93,9239,Pennsylvania,Mid East,Public,Suburb,6450,0,1,9,3,0,78,6,1,31,89,81
Pennsylvania State University-Penn State Hazleton,No,86,13550,Pennsylvania,Mid East,Public,Suburb,951,0,3,16,15,0,58,3,2,30,94,81
University of Pittsburgh-Johnstown,No,90,13130,Pennsylvania,Mid East,Public,Suburb,2840,0,1,3,1,0,89,1,2,32,91,75
University of Maine,No,81,10600,Maine,New England,Public,Suburb,9182,1,1,2,2,0,77,10,4,36,93,73
University of New Hampshire-Main Campus,No,78,16496,New Hampshire,New England,Public,Suburb,12516,0,2,1,3,0,78,11,3,64,84,74
Francis Marion University,No,57,9386,South Carolina,Southeast,Public,Suburb,3714,0,1,46,1,0,48,1,1,16,99,73
College of William and Mary,No,33,15463,Virginia,Southeast,Public,Suburb,6271,0,6,7,8,0,61,7,7,83,53,27
West Virginia University at Parkersburg,No,,2712,West Virginia,Southeast,Public,Suburb,3461,0,0,2,1,0,93,1,0,7,35,12
Texas State University,No,75,8060,Texas,Southwest,Public,Suburb,31005,0,2,7,30,0,54,2,1,30,75,56
Central Washington University,No,82,8976,Washington,Far West,Public,Town,10423,1,5,3,11,0,64,10,0,43,85,60
Washington State University,No,82,12327,Washington,Far West,Public,Town,23070,1,5,3,10,0,64,4,7,40,79,49
Central Michigan University,No,63,11220,Michigan,Great Lakes,Public,Town,20534,1,1,12,3,0,73,5,4,21,92,82
Ohio State University-Marion Campus,No,,7140,Ohio,Great Lakes,Public,Town,1230,0,5,6,2,0,82,3,0,21,92,53
Ohio University-Main Campus,No,73,10446,Ohio,Great Lakes,Public,Town,23504,0,1,5,2,0,80,2,7,48,79,60
University of Wisconsin-Whitewater,No,85,7578,Wisconsin,Great Lakes,Public,Town,10864,0,2,5,4,0,85,0,2,28,80,67
University of Wisconsin-Stout,No,89,8968,Wisconsin,Great Lakes,Public,Town,8208,0,3,2,2,0,87,1,3,21,87,67
University of Wisconsin-Platteville,No,96,7484,Wisconsin,Great Lakes,Public,Town,7862,0,1,2,3,0,90,0,2,19,86,67
University of Wisconsin-River Falls,No,87,7720,Wisconsin,Great Lakes,Public,Town,5782,0,3,1,2,0,89,0,2,23,84,69
University of Wisconsin-Stevens Point,No,83,7577,Wisconsin,Great Lakes,Public,Town,9313,1,2,2,3,0,89,0,2,22,84,67
SUNY College of Agriculture and Technology at Cobleskill,No,73,7149,New York,Mid East,Public,Town,2453,0,1,11,10,0,76,0,1,29,90,78
SUNY College at Cortland,No,47,7327,New York,Mid East,Public,Town,6400,0,1,4,9,0,73,10,1,47,84,73
SUNY at Fredonia,No,52,7400,New York,Mid East,Public,Town,5092,0,2,5,5,0,81,4,3,45,87,75
SUNY College at Geneseo,No,46,7430,New York,Mid East,Public,Town,5504,0,6,3,6,0,75,5,3,66,59,43
SUNY College at Oswego,No,49,7181,New York,Mid East,Public,Town,7328,0,2,6,8,0,80,0,2,40,91,73
SUNY College at Plattsburgh,No,46,7179,New York,Mid East,Public,Town,5639,0,2,6,8,0,72,4,6,41,91,70
Indiana University of Pennsylvania-Main Campus,No,90,9080,Pennsylvania,Mid East,Public,Town,12668,0,1,10,3,0,76,2,6,31,88,79
Lock Haven University,No,88,8899,Pennsylvania,Mid East,Public,Town,4855,0,1,7,2,0,87,1,1,28,91,82
Mansfield University of Pennsylvania,No,92,9192,Pennsylvania,Mid East,Public,Town,2717,0,1,8,3,0,81,3,1,35,94,84
Pennsylvania State University-Penn State Schuylkill,No,81,13550,Pennsylvania,Mid East,Public,Town,837,0,2,21,6,0,65,3,2,24,93,86
Slippery Rock University of Pennsylvania,No,67,9027,Pennsylvania,Mid East,Public,Town,7595,0,0,5,2,0,86,3,1,40,89,79
University of Maine at Augusta,No,,7500,Maine,New England,Public,Town,4770,2,0,1,1,0,82,11,0,3,89,69
Keene State College,No,82,12776,New Hampshire,New England,Public,Town,4799,0,1,1,3,0,81,13,0,52,96,81
Castleton State College,No,92,10286,Vermont,New England,Public,Town,2068,1,1,1,2,0,85,8,1,34,90,80
Pittsburg State University,No,79,5906,Kansas,Plains,Public,Town,6236,2,1,4,4,0,79,0,6,24,91,63
University of Minnesota-Crookston,No,69,11448,Minnesota,Plains,Public,Town,2839,1,1,4,2,0,63,23,5,34,92,67
Winona State University,No,61,8730,Minnesota,Plains,Public,Town,8253,0,2,2,2,0,87,1,3,30,88,71
University of Central Missouri,No,81,7265,Missouri,Plains,Public,Town,9974,0,1,7,2,0,66,14,7,30,94,70
Wayne State College,No,,5574,Nebraska,Plains,Public,Town,2991,1,0,2,6,0,76,12,1,25,92,70
Black Hills State University,No,89,7617,South Dakota,Plains,Public,Town,4002,4,1,1,4,0,86,1,1,11,92,75
Dakota State University,No,83,7506,South Dakota,Plains,Public,Town,2876,1,2,3,3,0,83,2,3,20,94,80
University of South Dakota,No,88,8022,South Dakota,Plains,Public,Town,7633,2,1,2,3,0,85,2,2,30,93,72
Henderson State University,No,62,7580,Arkansas,Southeast,Public,Town,3199,0,1,23,3,0,67,0,1,14,98,58
Georgia Southwestern State University,No,68,5035,Georgia,Southeast,Public,Town,2667,0,1,29,3,0,61,0,3,15,91,60
Georgia College and State University,No,68,8790,Georgia,Southeast,Public,Town,5729,0,1,7,5,0,82,0,2,39,95,45
Eastern Kentucky University,No,60,7536,Kentucky,Southeast,Public,Town,13891,0,1,5,2,0,83,4,2,18,97,64
Kentucky State University,No,38,6276,Kentucky,Southeast,Public,Town,2370,0,1,56,1,0,26,13,1,7,89,82
Grambling State University,No,44,5950,Louisiana,Southeast,Public,Town,4155,0,0,91,1,0,2,0,5,7,96,91
Louisiana Tech University,No,67,7302,Louisiana,Southeast,Public,Town,9245,0,1,13,1,0,68,9,6,29,94,37
Appalachian State University,No,63,6462,North Carolina,Southeast,Public,Town,16025,0,1,3,4,0,86,2,1,42,67,45
Elizabeth City State University,No,57,4429,North Carolina,Southeast,Public,Town,2336,1,0,73,1,0,16,9,0,21,97,75
University of North Carolina at Pembroke,No,72,5144,North Carolina,Southeast,Public,Town,5429,15,2,33,4,0,40,2,1,15,92,73
Lander University,No,42,10100,South Carolina,Southeast,Public,Town,2792,0,0,32,1,0,57,4,3,32,99,73
South Carolina State University,No,51,9776,South Carolina,Southeast,Public,Town,2937,0,1,93,1,0,4,1,0,14,98,89
The University of Virginia's College at Wise,No,74,8509,Virginia,Southeast,Public,Town,2291,0,1,9,2,0,80,8,0,24,93,60
Virginia Military Institute,No,47,14404,Virginia,Southeast,Public,Town,1675,0,5,4,4,1,83,0,0,59,82,52
Fairmont State University,No,66,5824,West Virginia,Southeast,Public,Town,3966,0,0,5,2,0,87,1,2,14,93,64
Northern New Mexico College,No,,4060,New Mexico,Southwest,Public,Town,1653,13,1,1,68,0,11,2,0,0,91,8
Oklahoma State University-Main Campus,No,76,7442,Oklahoma,Southwest,Public,Town,20660,5,2,4,4,0,69,1,7,33,87,41
University of Science and Arts of Oklahoma,No,62,4866,Oklahoma,Southwest,Public,Town,918,12,1,4,6,0,68,0,6,27,95,46
Southeastern Oklahoma State University,No,80,5315,Oklahoma,Southwest,Public,Town,3498,19,1,5,4,0,56,0,3,13,96,50
Texas A & M University-Commerce,No,68,6583,Texas,Southwest,Public,Town,6969,1,3,19,13,0,54,2,6,24,93,63
Prairie View A & M University,No,42,6764,Texas,Southwest,Public,Town,6731,0,3,84,6,0,3,1,2,11,97,86
Sam Houston State University,No,65,7022,Texas,Southwest,Public,Town,16255,0,1,17,18,0,56,2,2,28,87,61
Texas A & M University-Kingsville,No,88,6940,Texas,Southwest,Public,Town,9430,0,1,6,63,0,20,2,7,18,95,71
Western Oregon University,No,88,8634,Oregon,Far West,Public,Town,5263,2,3,3,9,2,71,4,5,20,88,71
Eastern Washington University,No,80,7961,Washington,Far West,Public,Town,11678,1,3,3,11,0,66,7,3,19,88,58
Bowling Green State University-Main Campus,No,72,10726,Ohio,Great Lakes,Public,Town,14477,0,1,9,4,0,76,3,4,31,96,75
Miami University-Oxford,No,67,13800,Ohio,Great Lakes,Public,Town,15462,0,2,4,3,0,80,1,7,68,77,44
Shawnee State University,No,,7177,Ohio,Great Lakes,Public,Town,4255,1,0,5,1,0,86,5,1,13,96,76
University of Maryland Eastern Shore,No,55,6998,Maryland,Mid East,Public,Town,3530,0,2,67,2,0,15,1,4,13,93,73
SUNY College at Brockport,No,48,7222,New York,Mid East,Public,Town,7090,0,1,8,4,0,75,8,1,48,87,74
Edinboro University of Pennsylvania,No,87,8849,Pennsylvania,Mid East,Public,Town,5864,0,1,7,3,0,85,1,2,23,91,83
Kutztown University of Pennsylvania,No,82,8819,Pennsylvania,Mid East,Public,Town,8815,0,1,7,6,0,81,2,1,34,87,80
Pennsylvania State University-Penn State Mont Alto,No,83,13470,Pennsylvania,Mid East,Public,Town,1022,0,1,10,4,0,78,4,0,33,95,79
Shippensburg University of Pennsylvania,No,83,9448,Pennsylvania,Mid East,Public,Town,6550,0,1,8,4,0,80,3,1,37,87,78
Eastern Connecticut State University,No,65,9376,Connecticut,New England,Public,Town,5179,0,2,6,8,0,71,8,1,32,82,72
Massachusetts College of Liberal Arts,No,67,8525,Massachusetts,New England,Public,Town,1538,0,1,9,6,0,75,6,1,38,97,96
Granite State College,No,,7065,New Hampshire,New England,Public,Town,1723,1,0,1,2,0,83,11,0,9,70,70
Athens State University,No,,,Alabama,Southeast,Public,Town,3170,2,1,11,2,0,75,7,1,,,
Fort Valley State University,No,33,6438,Georgia,Southeast,Public,Town,2858,0,0,96,0,0,3,1,0,8,97,88
University of West Georgia,No,54,5837,Georgia,Southeast,Public,Town,9959,0,1,33,4,0,56,1,1,17,94,69
University of South Carolina-Beaufort,No,73,8972,South Carolina,Southeast,Public,Town,1724,0,1,19,5,0,62,8,1,10,91,72
Shepherd University,No,81,6256,West Virginia,Southeast,Public,Town,3990,1,2,8,3,0,83,3,0,18,91,60
Rogers State University,No,54,5349,Oklahoma,Southwest,Public,Town,4473,14,2,3,4,0,60,1,1,9,88,43
West Texas A & M University,No,74,6500,Texas,Southwest,Public,Town,6906,1,1,5,22,0,65,2,2,25,90,59
University of Alaska Southeast,No,,5693,Alaska,Far West,Public,Town,2645,13,2,1,4,1,53,19,1,4,79,32
Humboldt State University,No,80,7144,California,Far West,Public,Town,7767,1,3,4,26,0,51,9,1,11,74,61
University of Hawaii at Hilo,No,75,6536,Hawaii,Far West,Public,Town,3457,0,21,1,10,10,24,0,4,8,85,49
Great Basin College,No,,2700,Nevada,Far West,Public,Town,3164,3,2,2,15,1,67,7,0,27,59,12
Eastern Oregon University,No,67,7530,Oregon,Far West,Public,Town,3754,2,2,3,6,1,78,6,1,15,94,63
Oregon Institute of Technology,No,71,8548,Oregon,Far West,Public,Town,4366,1,5,1,7,0,75,4,1,18,89,62
Eastern Illinois University,No,62,11144,Illinois,Great Lakes,Public,Town,8347,0,1,16,4,0,72,3,2,34,93,73
Western Illinois University,No,59,11767,Illinois,Great Lakes,Public,Town,9873,0,1,15,7,0,68,4,3,29,82,69
Ferris State University,No,76,10466,Michigan,Great Lakes,Public,Town,13477,1,2,7,4,0,78,4,3,23,96,77
Lake Superior State University,No,92,9960,Michigan,Great Lakes,Public,Town,2429,9,1,2,2,0,78,2,6,17,97,66
Michigan Technological University,No,77,13728,Michigan,Great Lakes,Public,Town,5617,0,1,1,2,0,75,3,15,24,97,66
Northern Michigan University,No,73,9037,Michigan,Great Lakes,Public,Town,8221,2,1,2,3,0,85,5,1,21,90,68
SUNY College of Technology at Alfred,No,55,7294,New York,Mid East,Public,Town,3555,0,1,10,6,0,79,1,1,39,94,79
SUNY College of Technology at Canton,No,78,7181,New York,Mid East,Public,Town,3512,1,1,13,7,0,69,4,2,23,96,86
SUNY College of Technology at Delhi,No,59,7200,New York,Mid East,Public,Town,3308,0,2,14,12,0,64,5,1,28,91,82
SUNY Oneonta,No,51,7230,New York,Mid East,Public,Town,5800,0,2,3,8,0,82,4,1,54,79,63
SUNY College at Potsdam,No,68,7174,New York,Mid East,Public,Town,3707,1,1,6,8,0,72,6,2,30,91,77
Clarion University of Pennsylvania,No,93,9404,Pennsylvania,Mid East,Public,Town,5199,0,1,6,2,0,85,4,1,33,91,80
Pennsylvania State University-Penn State Dubois,No,88,13354,Pennsylvania,Mid East,Public,Town,704,0,1,2,2,0,88,5,1,33,95,80
University of Pittsburgh-Bradford,No,85,13078,Pennsylvania,Mid East,Public,Town,1481,0,2,10,4,0,74,5,3,33,97,76
University of Maine at Farmington,No,84,9167,Maine,New England,Public,Town,1901,1,1,1,2,0,83,10,1,38,96,83
Plymouth State University,No,77,12610,New Hampshire,New England,Public,Town,4065,0,2,3,2,0,77,12,2,41,89,78
Lyndon State College,No,99,10286,Vermont,New England,Public,Town,1415,1,1,3,4,0,83,6,1,18,96,81
Emporia State University,No,61,5614,Kansas,Plains,Public,Town,3873,0,1,4,5,0,74,3,9,20,96,75
Fort Hays State University,No,89,4358,Kansas,Plains,Public,Town,11433,0,1,4,5,0,59,1,28,19,97,68
Bemidji State University,No,67,8124,Minnesota,Plains,Public,Town,4727,2,1,2,1,0,84,5,2,26,90,70
University of Minnesota-Morris,No,58,12584,Minnesota,Plains,Public,Town,1946,6,3,2,3,0,66,0,9,50,93,58
Southwest Minnesota State University,No,65,8074,Minnesota,Plains,Public,Town,6467,0,2,2,3,0,88,2,2,22,95,75
Missouri University of Science and Technology,No,82,9510,Missouri,Plains,Public,Town,6145,0,2,4,2,0,70,4,16,25,97,59
Truman State University,No,72,7368,Missouri,Plains,Public,Town,5898,0,2,3,3,0,81,3,6,54,99,49
Northwest Missouri State University,No,72,6390,Missouri,Plains,Public,Town,5542,0,1,6,3,0,81,2,6,27,95,61
Chadron State College,No,,5600,Nebraska,Plains,Public,Town,2432,1,1,3,5,0,75,11,1,17,87,56
University of Nebraska at Kearney,No,85,6542,Nebraska,Plains,Public,Town,5502,0,1,2,7,0,80,2,7,21,87,51
Dickinson State University,No,49,5846,North Dakota,Plains,Public,Town,1449,1,1,4,5,0,76,4,7,15,82,45
Minot State University,No,57,6086,North Dakota,Plains,Public,Town,3254,2,1,4,4,0,68,6,11,14,91,44
Valley City State University,No,83,6516,North Dakota,Plains,Public,Town,1211,1,1,3,4,0,84,1,4,23,99,74
Northern State University,No,93,7563,South Dakota,Plains,Public,Town,2826,1,1,1,2,0,85,1,6,24,97,76
South Dakota State University,No,92,7713,South Dakota,Plains,Public,Town,10969,1,1,2,2,0,87,1,5,27,92,71
Adams State University,No,53,7449,Colorado,Rocky Mountains,Public,Town,2284,1,1,7,26,0,56,5,0,12,92,66
Fort Lewis College,No,88,6923,Colorado,Rocky Mountains,Public,Town,3984,22,0,1,9,0,57,3,2,17,91,51
Western State Colorado University,No,93,7343,Colorado,Rocky Mountains,Public,Town,2193,0,1,2,8,0,64,21,1,23,91,33
Montana Tech of the University of Montana,No,89,6464,Montana,Rocky Mountains,Public,Town,1844,2,1,1,2,0,81,4,9,20,89,44
Montana State University,No,84,6752,Montana,Rocky Mountains,Public,Town,13174,1,1,1,3,0,86,1,4,20,87,47
Montana State University-Northern,No,100,5480,Montana,Rocky Mountains,Public,Town,1250,11,1,1,2,0,77,6,1,15,88,63
The University of Montana-Western,No,,4141,Montana,Rocky Mountains,Public,Town,1455,2,1,1,2,1,88,4,0,27,87,63
Southern Utah University,No,57,5924,Utah,Rocky Mountains,Public,Town,7017,2,1,1,4,1,82,3,5,22,88,63
University of Wyoming,No,96,4404,Wyoming,Rocky Mountains,Public,Town,10117,1,1,1,5,0,76,7,6,24,92,39
Arkansas Tech University,No,85,5598,Arkansas,Southeast,Public,Town,10482,1,1,7,6,0,79,0,3,21,95,49
University of Arkansas at Monticello,No,,5793,Arkansas,Southeast,Public,Town,3706,0,0,29,3,0,64,1,0,10,98,60
Southern Arkansas University Main Campus,No,61,7466,Arkansas,Southeast,Public,Town,2960,0,1,27,2,1,66,0,3,14,97,44
Georgia Southern University,No,52,6071,Georgia,Southeast,Public,Town,17904,0,1,26,4,0,63,2,2,26,89,63
Morehead State University,No,84,7498,Kentucky,Southeast,Public,Town,10076,0,0,3,1,0,91,1,1,22,99,69
Murray State University,No,82,7044,Kentucky,Southeast,Public,Town,9172,0,1,7,2,0,80,2,7,29,99,55
Northwestern State University of Louisiana,No,84,6207,Louisiana,Southeast,Public,Town,7836,1,1,26,5,0,59,4,1,19,95,53
Delta State University,No,89,6562,Mississippi,Southeast,Public,Town,2638,0,1,32,4,0,58,1,2,16,94,71
